id	proactive	emot_intel	sjt	work_samp	str_int	consc	cog_flex	work_exp	degree	job_perf	citizenship	promotion	high_potential	wrok_exp
402	59	48	48	49	56	50	48	2-5	Bachelor	45	45	No	Yes	2-5
403	50	44	46	42	48	51	41	2-5	None	38	52	No	No	2-5
404	56	49	56	46	55	56	48	2-5	Bachelor	49	48	No	No	2-5
405	51	51	43	43	52	50	49	2-5	Bachelor	46	42	No	No	2-5
406	53	48	51	47	53	52	49	6-10	None	53	57	Yes	No	6-10
407	56	43	52	47	49	56	41	6-10	None	39	53	No	No	6-10
408	54	55	48	45	52	58	46	2-5	Bachelor	47	54	No	No	2-5
409	55	47	51	50	51	48	50	0-1	Associate	53	46	No	Yes	0-1
410	57	46	51	47	52	46	48	2-5	Master	48	43	No	No	2-5
412	48	40	39	46	41	57	40	6-10	None	43	48	Yes	No	6-10
413	61	46	51	50	48	52	43	2-5	Bachelor	48	55	No	No	2-5
414	54	43	49	43	51	53	48	0-1	Master	43	44	No	No	0-1
416	55	51	48	46	52	53	45	2-5	Associate	48	44	No	No	2-5
417	47	46	46	51	46	50	46	0-1	Bachelor	34	34	No	Yes	0-1
419	55	46	48	43	56	48	48	0-1	Bachelor	47	44	No	No	0-1
420	52	54	52	49	47	55	54	0-1	None	50	58	No	No	0-1
421	52	47	51	50	46	47	45	0-1	Bachelor	51	46	No	No	0-1
422	54	44	51	42	48	52	49	6-10	Bachelor	51	44	No	No	6-10
423	49	41	44	40	45	51	38	2-5	Associate	34	39	No	No	2-5
424	56	44	51	46	51	51	47	6-10	Associate	58	49	No	No	6-10
426	53	46	49	43	53	52	44	0-1	None	34	45	No	No	0-1
428	55	43	50	47	45	52	44	2-5	Associate	45	46	No	No	2-5
429	48	50	44	44	47	53	49	0-1	Bachelor	38	43	No	No	0-1
430	49	42	47	46	49	46	47	2-5	Bachelor	42	48	No	Yes	2-5
432	47	40	39	45	41	48	46	2-5	Associate	40	30	No	No	2-5
433	53	46	52	46	51	57	46	11+	None	50	47	No	Yes	11+
434	52	41	44	44	43	57	47	2-5	Bachelor	41	39	No	No	2-5
436	57	53	50	50	53	59	51	2-5	Bachelor	57	51	No	Yes	2-5
439	53	45	48	45	51	55	44	0-1	Bachelor	44	51	No	No	0-1
440	52	43	50	47	50	55	42	11+	Associate	45	42	No	Yes	11+
441	53	46	48	46	51	50	50	2-5	Associate	52	33	No	No	2-5
442	43	39	42	38	43	45	37	2-5	Associate	20	30	No	No	2-5
443	59	43	52	52	52	46	44	0-1	Bachelor	46	46	No	Yes	0-1
444	45	35	37	41	37	48	36	2-5	Associate	35	31	No	No	2-5
445	42	38	39	43	42	47	46	0-1	Bachelor	36	33	No	No	0-1
446	64	40	49	50	49	56	47	2-5	Bachelor	49	40	No	No	2-5
447	61	60	61	57	59	53	63	11+	Master	78	75	No	Yes	11+
448	55	42	48	44	46	55	39	2-5	Associate	33	40	No	No	2-5
449	50	47	50	39	46	45	37	0-1	None	34	42	No	No	0-1
450	48	39	42	40	49	42	41	0-1	None	36	25	No	No	0-1
451	50	43	54	48	47	53	49	2-5	Bachelor	52	45	No	Yes	2-5
454	54	51	53	49	54	53	52	6-10	None	41	60	No	No	6-10
455	54	49	53	48	54	56	48	6-10	Bachelor	58	45	No	No	6-10
457	49	40	44	42	43	49	46	2-5	Associate	38	41	No	No	2-5
459	52	40	45	45	47	54	41	11+	None	41	36	No	No	11+
462	54	51	50	44	53	50	46	0-1	Bachelor	34	47	No	No	0-1
463	51	41	40	38	46	46	41	2-5	Associate	39	37	No	No	2-5
464	49	46	45	45	43	50	39	2-5	None	37	37	No	No	2-5
465	57	47	45	48	50	55	46	2-5	Associate	45	47	No	Yes	2-5
466	51	53	53	48	49	51	48	2-5	Associate	49	53	No	No	2-5
467	50	43	41	37	48	46	37	0-1	None	39	31	No	No	0-1
469	54	48	53	47	54	56	44	0-1	Bachelor	52	48	No	No	0-1
470	50	46	48	47	49	53	45	6-10	Associate	45	41	No	No	6-10
471	55	48	50	50	51	57	52	11+	Bachelor	60	54	Yes	Yes	11+
472	57	46	48	50	54	55	47	6-10	Bachelor	51	44	No	No	6-10
473	52	46	46	46	49	54	44	6-10	Associate	49	45	No	No	6-10
474	51	49	51	40	51	48	45	0-1	Associate	43	41	No	Yes	0-1
475	54	48	53	47	54	46	50	2-5	Bachelor	47	52	No	No	2-5
476	51	46	44	44	51	50	47	2-5	Bachelor	51	39	No	No	2-5
477	53	51	45	49	52	52	46	0-1	Bachelor	40	44	No	No	0-1
478	55	43	51	44	53	56	51	0-1	Associate	48	57	No	No	0-1
479	54	48	44	43	49	53	41	6-10	None	52	50	No	Yes	6-10
481	56	46	47	44	50	52	46	2-5	Associate	44	53	No	No	2-5
482	54	46	49	50	45	50	46	2-5	Bachelor	62	47	No	Yes	2-5
483	52	48	46	45	49	48	41	0-1	Associate	47	50	No	Yes	0-1
484	46	41	44	46	42	44	39	0-1	Associate	35	29	No	No	0-1
485	55	50	52	51	55	56	46	6-10	Bachelor	58	50	No	Yes	6-10
486	57	50	48	44	48	46	44	0-1	Associate	38	45	No	No	0-1
